"Count","Name","Path"
"952","AzDataFactoryV2DatasetDependencies","C:\Program Files\WindowsPowerShell\Modules\AzDataFactoryV2DatasetDependencies"
"952","AzDataFactoryV2IntegrationRuntimeDependencies","C:\Program Files\WindowsPowerShell\Modules\AzDataFactoryV2IntegrationRuntimeDependencies"
"952","AzDataFactoryV2LinkedServiceDependencies","C:\Program Files\WindowsPowerShell\Modules\AzDataFactoryV2LinkedServiceDependencies"
"952","AzDataFactoryV2PipelinesLastExecution","C:\Program Files\WindowsPowerShell\Modules\AzDataFactoryV2PipelinesLastExecution"
"952","AzDataFactoryV2TriggerDependencies","C:\Program Files\WindowsPowerShell\Modules\AzDataFactoryV2TriggerDependencies"
"952","AzDevOps","C:\Program Files\WindowsPowerShell\Modules\AzDevOps"
"952","AzDnsAsCode","C:\Program Files\WindowsPowerShell\Modules\AzDnsAsCode"
"952","AzDO","C:\Program Files\WindowsPowerShell\Modules\AzDO"
"952","AzdoAPITools","C:\Program Files\WindowsPowerShell\Modules\AzdoAPITools"
"952","AzDOCmd","C:\Program Files\WindowsPowerShell\Modules\AzDOCmd"
"952","AzDOps","C:\Program Files\WindowsPowerShell\Modules\AzDOps"
"952","AzDOTestResults","C:\Program Files\WindowsPowerShell\Modules\AzDOTestResults"
"952","Azereo","C:\Program Files\WindowsPowerShell\Modules\Azereo"
"952","AzExpression","C:\Program Files\WindowsPowerShell\Modules\AzExpression"
"952","AzExtensions","C:\Program Files\WindowsPowerShell\Modules\AzExtensions"
"952","AzFnUtil","C:\Program Files\WindowsPowerShell\Modules\AzFnUtil"
"952","AZFW.NSG.LogViewer","C:\Program Files\WindowsPowerShell\Modules\AZFW.NSG.LogViewer"
"952","AZKVManager","C:\Program Files\WindowsPowerShell\Modules\AZKVManager"
"952","AzLogDcrIngestPS","C:\Program Files\WindowsPowerShell\Modules\AzLogDcrIngestPS"
"952","AzMarketplace","C:\Program Files\WindowsPowerShell\Modules\AzMarketplace"
"952","azmi","C:\Program Files\WindowsPowerShell\Modules\azmi"
"952","AzOps","C:\Program Files\WindowsPowerShell\Modules\AzOps"
"952","AzPipelineVariable","C:\Program Files\WindowsPowerShell\Modules\AzPipelineVariable"
"952","AzPolicyEvaluation","C:\Program Files\WindowsPowerShell\Modules\AzPolicyEvaluation"
"952","AzPolicyTest","C:\Program Files\WindowsPowerShell\Modules\AzPolicyTest"
"952","AzPreview","C:\Program Files\WindowsPowerShell\Modules\AzPreview"
"952","AzPseudoGUI","C:\Program Files\WindowsPowerShell\Modules\AzPseudoGUI"
"952","AzReports","C:\Program Files\WindowsPowerShell\Modules\AzReports"
"952","AzResourceGraphPS","C:\Program Files\WindowsPowerShell\Modules\AzResourceGraphPS"
"952","Azs.Azurebridge.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.Azurebridge.Admin"
"952","Azs.Backup.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.Backup.Admin"
"952","Azs.Commerce.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.Commerce.Admin"
"952","Azs.Compute.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.Compute.Admin"
"952","Azs.ContainerRegistry.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.ContainerRegistry.Admin"
"952","Azs.ContainerService.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.ContainerService.Admin"
"952","Azs.Deployment.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.Deployment.Admin"
"952","Azs.Deployment.Worksheet","C:\Program Files\WindowsPowerShell\Modules\Azs.Deployment.Worksheet"
"952","Azs.Fabric.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.Fabric.Admin"
"952","Azs.Gallery.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.Gallery.Admin"
"952","Azs.Infrastructureinsights.Admin","C:\Program Files\WindowsPowerShell\Modules\Azs.Infrastructureinsights.Admin"
